Crime Description,Latitude,Longitude,Hour
PUBLIC INTOXICATION,28.73215677016369,77.02795770918732,1
ASSAULT,28.603193430720033,77.31808596654268,1
SHOPLIFTING,28.807010192333017,77.49168992558823,7
FRAUD,28.483486459953852,77.44789724842315,23
ARSON,28.41135603656693,77.3510522837432,20
CYBERCRIME,28.44502393038782,77.49529896449643,22
COUNTERFEITING,28.761179675298223,77.36141413102105,20
VANDALISM,28.630938615125693,77.1696255617007,2
HOMICIDE,28.4806358895168,77.30060906653009,9
ASSAULT,28.650522387551682,77.03988332124278,12
EXTORTION,28.476156051356583,77.11084124511127,3
ROBBERY,28.748160187538865,77.20877011796425,23
ILLEGAL POSSESSION,28.623078137787015,77.10090924678153,14
DOMESTIC VIOLENCE,28.590510613048238,77.47675050741408,20
IDENTITY THEFT,28.550756044573937,77.49779876337233,6
CYBERCRIME,28.715141296559445,77.18546796006083,17
KIDNAPPING,28.580906305276695,77.3546144930386,2
FRAUD,28.44382495965805,77.20388536533162,0
FRAUD,28.459002951060256,77.0697546021931,15
ILLEGAL POSSESSION,28.880948832274754,77.16846342385105,1
IDENTITY THEFT,28.854290345353803,77.11668584935784,6
CYBERCRIME,28.749853566905372,77.1640391102037,19
FIREARM OFFENSE,28.53293498072976,77.10751084419886,11
BURGLARY,28.88458818867386,77.05617255952912,9
ARSON,28.789375451982895,77.1087142146812,6
IDENTITY THEFT,28.758445094579496,77.45287851591492,16
DRUG OFFENSE,28.624680751071892,77.04261083788826,22
PUBLIC INTOXICATION,28.536120780922577,77.16237832187761,17
COUNTERFEITING,28.44819548107675,77.26422494725132,8
CYBERCRIME,28.85130119827192,77.17725632808917,10
FIREARM OFFENSE,28.627888144916803,77.25880354750944,2
CYBERCRIME,28.501181682397615,77.02171003011718,3
SEXUAL ASSAULT,28.552978312075325,77.3242848166822,6
PUBLIC INTOXICATION,28.689609784470946,77.28173940077804,9
FRAUD,28.488386391469614,77.34048313292735,23
SHOPLIFTING,28.828307142046185,77.28362890791362,20
SHOPLIFTING,28.779259764917605,77.21895179121283,2
ILLEGAL POSSESSION,28.759731477975468,77.17507077114705,7
VANDALISM,28.61604651988755,77.11321759504989,1
HOMICIDE,28.71365442035122,77.2500338634033,1
ILLEGAL POSSESSION,28.692048984456367,77.01302622618876,8
FIREARM OFFENSE,28.72492330077741,77.16412041404966,23
VEHICLE - STOLEN,28.442222160569944,77.33893614678226,4
DOMESTIC VIOLENCE,28.607903701085302,77.05435851984318,16
DOMESTIC VIOLENCE,28.420807086930946,77.03144562115976,9
ASSAULT,28.646995409622257,77.32608930264568,12
TRAFFIC VIOLATION,28.564930606166392,77.19888736057118,20
SEXUAL ASSAULT,28.47226209443302,77.4009125182747,19
PUBLIC INTOXICATION,28.451701483861275,77.46865565198566,19
SEXUAL ASSAULT,28.693822286088853,77.4785202268663,9
ROBBERY,28.485296484268442,77.2127964269471,1
SHOPLIFTING,28.862560059188397,77.13216361213752,23
HOMICIDE,28.690530569850196,77.30430686937125,23
FRAUD,28.57343490226742,77.31409646296412,20
VANDALISM,28.695457745740708,77.31117246803795,11
SHOPLIFTING,28.411401935514846,77.16088930685945,6
FRAUD,28.87927960662072,77.03187586820866,4
BURGLARY,28.64115171847145,77.1050024194128,8
ARSON,28.79136761362514,77.07720971401112,8
DRUG OFFENSE,28.441364999961216,77.06195017289166,6
SEXUAL ASSAULT,28.64332916541908,77.46314166053578,22
ROBBERY,28.645353497177258,77.00692382298699,15
COUNTERFEITING,28.86891322748749,77.30092886961816,5
SHOPLIFTING,28.685864026188035,77.47373689787007,15
ARSON,28.636744700528475,77.18002656374706,16
IDENTITY THEFT,28.533487831545944,77.26354904458623,12
ASSAULT,28.565784498671274,77.34789183173758,22
HOMICIDE,28.66033620123577,77.15858484732912,23
FIREARM OFFENSE,28.619455730152524,77.23882599385362,10
COUNTERFEITING,28.410806039940162,77.40855142516638,11
SEXUAL ASSAULT,28.813145962097177,77.37267783264014,5
CYBERCRIME,28.848080385919882,77.40422470574642,18
DOMESTIC VIOLENCE,28.470124544499303,77.49367008181383,22
VEHICLE - STOLEN,28.677018071769524,77.18516373746809,15
BURGLARY,28.454287870567722,77.37354563146789,4
ROBBERY,28.736120046519904,77.301392283551,12
DOMESTIC VIOLENCE,28.540616891919502,77.3333023836106,19
DOMESTIC VIOLENCE,28.72971131734595,77.36993695241647,1
IDENTITY THEFT,28.76349730714344,77.37486565847315,14
VANDALISM,28.784323745958826,77.44287257464741,15
VANDALISM,28.453870472977947,77.17466083761803,12
FIREARM OFFENSE,28.858005922568804,77.32674067805596,15
VANDALISM,28.51510699544744,77.14014521579843,21
ASSAULT,28.418706278088088,77.29728435255849,2
VEHICLE - STOLEN,28.67742623469574,77.37558757008597,13
IDENTITY THEFT,28.58546114193122,77.39550054308081,19
FRAUD,28.814894871566207,77.21006225149456,19
ARSON,28.804125736032148,77.25436011160068,11
DOMESTIC VIOLENCE,28.558569446411358,77.16692492558509,23
ARSON,28.87644969753487,77.08451817326981,7
ROBBERY,28.545458919070057,77.13025870259627,10
PUBLIC INTOXICATION,28.657528564615856,77.45606850244991,19
SEXUAL ASSAULT,28.5279825452838,77.15448477120466,10
KIDNAPPING,28.86802178502448,77.48737966677281,8
DOMESTIC VIOLENCE,28.482303908791007,77.1207390426077,13
VEHICLE - STOLEN,28.42245530969616,77.36153554374052,14
FIREARM OFFENSE,28.617548530001518,77.28695164678592,23
EXTORTION,28.896187782027916,77.3484350247624,14
DRUG OFFENSE,28.845838633127457,77.3219789733046,4
ASSAULT,28.774304009728475,77.3533742917988,1
ARSON,28.84539624543926,77.45277352421773,23
SEXUAL ASSAULT,28.84672331984893,77.28173474803124,10
ILLEGAL POSSESSION,28.65942918019322,77.033924391452,4
SHOPLIFTING,28.557964525915395,77.13541271722345,5
COUNTERFEITING,28.786006216055494,77.35410949020438,2
SHOPLIFTING,28.730830631583878,77.24703731398783,4
VEHICLE - STOLEN,28.586828864436853,77.27427599130985,18
IDENTITY THEFT,28.447233334030756,77.29829022769015,15
FRAUD,28.77339480567451,77.19131463649228,14
BURGLARY,28.531230257961433,77.38694776254393,0
SEXUAL ASSAULT,28.86840657526689,77.36176744194827,16
VANDALISM,28.52048528750284,77.35714970609655,23
EXTORTION,28.461378966205743,77.35765508701748,22
TRAFFIC VIOLATION,28.815556336062453,77.44517900082712,9
SHOPLIFTING,28.476642158312245,77.29769638972164,14
IDENTITY THEFT,28.489634154078868,77.48353609974848,7
CYBERCRIME,28.69969139576042,77.05959634219532,21
DOMESTIC VIOLENCE,28.837281020418732,77.31597948829693,22
FRAUD,28.498217332857287,77.3584632729679,5
BURGLARY,28.555161836450047,77.23861020547719,11
SHOPLIFTING,28.788702419120586,77.14410419322847,5
HOMICIDE,28.88591321303048,77.27501872635555,14
ASSAULT,28.65037059310117,77.18237384014535,7
FRAUD,28.471948751275622,77.45456203553391,16
HOMICIDE,28.4069681438541,77.17839620626663,23
SHOPLIFTING,28.514828014999427,77.08785349635106,20
TRAFFIC VIOLATION,28.46591110889326,77.28819457008272,4
CYBERCRIME,28.73882933680643,77.19799629569019,3
VANDALISM,28.460916252314263,77.04794907240041,19
SHOPLIFTING,28.653164965810316,77.28242117549895,1
DRUG OFFENSE,28.74713121782144,77.26892320558285,9
FRAUD,28.690558304610448,77.0865985433166,23
IDENTITY THEFT,28.499887825830026,77.29881908447992,10
VANDALISM,28.80206226309113,77.28367948692875,0
ARSON,28.7577035648079,77.3868063115208,23
COUNTERFEITING,28.76949200195777,77.18078496492132,16
DRUG OFFENSE,28.465528875778656,77.12437976183182,7
TRAFFIC VIOLATION,28.46187690182517,77.47560994348538,14
ARSON,28.863781275503253,77.28060876139139,14
DRUG OFFENSE,28.59878909691247,77.0135699794421,13
ASSAULT,28.550474345890468,77.41035584205588,23
FIREARM OFFENSE,28.644292022675764,77.09837903045947,18
DRUG OFFENSE,28.73143210638179,77.39301815882293,6
PUBLIC INTOXICATION,28.877811628523485,77.35258121357798,23
CYBERCRIME,28.543223113441027,77.48440686213158,23
ILLEGAL POSSESSION,28.862404214656014,77.48278965079726,1
HOMICIDE,28.412429745693128,77.13720531232788,7
EXTORTION,28.67759902116341,77.3832247906117,14
TRAFFIC VIOLATION,28.71698755584054,77.15842754288997,21
DOMESTIC VIOLENCE,28.452948701875375,77.3145989694148,17
ARSON,28.470169798531956,77.2988730424773,13
ROBBERY,28.609557159658152,77.02727175781058,7
IDENTITY THEFT,28.883115956071588,77.00259087491767,2
KIDNAPPING,28.698021276617187,77.0288820072974,21
ILLEGAL POSSESSION,28.866511610800103,77.06397102376587,12
FRAUD,28.802180457806482,77.12882624567389,10
IDENTITY THEFT,28.633690800777643,77.45347761162128,23
FIREARM OFFENSE,28.792381724626093,77.25931633767334,3
BURGLARY,28.408918391988493,77.3984458694204,6
SHOPLIFTING,28.454571998382868,77.41915587605361,20
CYBERCRIME,28.814714307441367,77.36747154929527,6
COUNTERFEITING,28.79840854416258,77.19569256221028,22
SHOPLIFTING,28.516320370983216,77.43192969692049,20
HOMICIDE,28.665384795299524,77.37102487666046,2
HOMICIDE,28.703007910350003,77.37157572170253,10
ASSAULT,28.833869476888005,77.45078716358279,18
COUNTERFEITING,28.701553578669362,77.29933173622884,11
TRAFFIC VIOLATION,28.60628578463684,77.26428721498108,5
KIDNAPPING,28.58709202170359,77.44508127879854,1
SHOPLIFTING,28.612941043186755,77.2272308640821,0
SEXUAL ASSAULT,28.725965512789987,77.40578534801442,4
EXTORTION,28.83374531587616,77.0269231802224,6
CYBERCRIME,28.62694844103815,77.00064497222816,7
HOMICIDE,28.523919781475676,77.26414624480218,20
CYBERCRIME,28.518331181498787,77.03680594690819,12
ILLEGAL POSSESSION,28.77300714012172,77.48827150672653,3
ILLEGAL POSSESSION,28.808284381711953,77.0027505870199,1
KIDNAPPING,28.45263903992706,77.35907481824933,3
ARSON,28.433279428477586,77.12169234789312,7
ILLEGAL POSSESSION,28.697216831878226,77.48377600263603,17
DRUG OFFENSE,28.473086622096346,77.19077082531395,1
BURGLARY,28.812332095228168,77.01364171313193,9
COUNTERFEITING,28.555167336962036,77.01346788270439,10
BURGLARY,28.47193596648557,77.27668668586234,3
BURGLARY,28.860485236243722,77.49335598951563,1
COUNTERFEITING,28.48276586136764,77.48988676752286,5
COUNTERFEITING,28.542360041168966,77.16863648614464,3
SHOPLIFTING,28.47680669759603,77.24135182459445,19
ROBBERY,28.457745031832676,77.05022790289891,22
ASSAULT,28.41057400816822,77.26108842799587,14
HOMICIDE,28.42769770458213,77.29985079952414,18
DOMESTIC VIOLENCE,28.487320735467925,77.12553083280567,18
CYBERCRIME,28.426690966313586,77.30605721795759,21
ARSON,28.695571908055484,77.44984637584813,2
ROBBERY,28.74035726339975,77.00047766671175,23
ASSAULT,28.596815228416013,77.11446688715397,10
ARSON,28.558995548476023,77.10495978166198,13
ROBBERY,28.652263118511115,77.06194310151692,19
HOMICIDE,28.837502471117304,77.08305060636854,11
VEHICLE - STOLEN,28.825565813411103,77.3129562726827,6
IDENTITY THEFT,28.421737531006393,77.05134719507532,0
IDENTITY THEFT,28.49074920479826,77.36926580451036,4
ROBBERY,28.518372435552198,77.4435112952792,2
SHOPLIFTING,28.524693787916103,77.46329386208919,9
COUNTERFEITING,28.685616325871386,77.33008790715985,18
VEHICLE - STOLEN,28.608131212851596,77.09869820531681,8
KIDNAPPING,28.424627059963797,77.04264828776995,14
DRUG OFFENSE,28.586807069229785,77.1160124769035,4
HOMICIDE,28.661876474358817,77.48097859289253,14
IDENTITY THEFT,28.450835951451857,77.48117260087535,22
SEXUAL ASSAULT,28.81672927689428,77.19095944195917,7
CYBERCRIME,28.42598093323255,77.16289577054877,11
ARSON,28.86242093450903,77.25500529112954,23
BURGLARY,28.449556570789937,77.1458440457337,14
SEXUAL ASSAULT,28.821787475798875,77.48983122582779,9
KIDNAPPING,28.851326571963806,77.11061069501228,2
CYBERCRIME,28.889785340293294,77.18457134109138,22
CYBERCRIME,28.801012940136797,77.2146854378501,14
EXTORTION,28.789738770385664,77.06253201154058,1
ILLEGAL POSSESSION,28.72124163799777,77.19141241338507,13
COUNTERFEITING,28.78949817728906,77.42836536005099,23
IDENTITY THEFT,28.467276104206572,77.07018050072838,22
BURGLARY,28.668034017973817,77.29201097541309,4
ASSAULT,28.657111435095207,77.20331856903,9
COUNTERFEITING,28.828786072061277,77.08526836305873,23
FRAUD,28.631399682796758,77.0061680822246,18
COUNTERFEITING,28.592544748050177,77.13667165174495,13
TRAFFIC VIOLATION,28.719781635618553,77.030914480349,7
HOMICIDE,28.53323165875042,77.18838423564837,18
IDENTITY THEFT,28.469884205476976,77.40510492784968,13
CYBERCRIME,28.638938637011872,77.3598426304388,12
KIDNAPPING,28.608444684297442,77.47369185585089,22
COUNTERFEITING,28.516284970264437,77.21350770866853,9
EXTORTION,28.58375590505756,77.35390069929592,15
FIREARM OFFENSE,28.583196224913124,77.33267086105101,1
DOMESTIC VIOLENCE,28.56374778220627,77.10852315157913,17
KIDNAPPING,28.589732039863463,77.15179125261633,13
TRAFFIC VIOLATION,28.742871672727972,77.26491476669888,21
BURGLARY,28.54843823728564,77.39832865950297,7
BURGLARY,28.87442896335767,77.23090636723147,22
ROBBERY,28.858174009769087,77.11387076808776,13
FIREARM OFFENSE,28.640455214150037,77.49673284514019,4
SEXUAL ASSAULT,28.564180602502343,77.05778940317684,3
ROBBERY,28.667717394915,77.47794445374566,4
SEXUAL ASSAULT,28.82428024438681,77.40452314421525,7
VEHICLE - STOLEN,28.72629367028005,77.41944675965392,13
DOMESTIC VIOLENCE,28.802195913973538,77.39745879154574,20
EXTORTION,28.66636113803287,77.10408547065231,23
VEHICLE - STOLEN,28.71645881463381,77.31629118869762,16
IDENTITY THEFT,28.54407780709123,77.37837490622546,11
ILLEGAL POSSESSION,28.767446581155145,77.37284289605083,14
EXTORTION,28.50120229656286,77.13578268527203,7
PUBLIC INTOXICATION,28.747399064409247,77.09055969388184,5
PUBLIC INTOXICATION,28.830359534162945,77.16406149195727,12
SEXUAL ASSAULT,28.46605141865077,77.23992224018869,19
VEHICLE - STOLEN,28.70718987027096,77.28689037353183,1
TRAFFIC VIOLATION,28.447547874114967,77.41847518115958,2
ILLEGAL POSSESSION,28.76285781413571,77.38451711385231,4
HOMICIDE,28.442246609411757,77.33807526283326,5
HOMICIDE,28.86796991135031,77.13174464647138,3
VEHICLE - STOLEN,28.4687039650189,77.23944024946748,3
TRAFFIC VIOLATION,28.879440122954538,77.16771793706398,0
VEHICLE - STOLEN,28.800442088042548,77.11746408977527,8
FRAUD,28.696841002233175,77.00512268019175,17
DRUG OFFENSE,28.791312052314773,77.16973098528534,3
FRAUD,28.797557419491543,77.12805813385731,7
ARSON,28.873013531408663,77.2859511634834,23
SEXUAL ASSAULT,28.526691676919594,77.03115088514186,4
HOMICIDE,28.695037947679154,77.1352597983551,23
KIDNAPPING,28.4475245987822,77.02238474499421,12
DOMESTIC VIOLENCE,28.708082850012058,77.32070895225672,17
SEXUAL ASSAULT,28.485645652046394,77.28409477928432,7
IDENTITY THEFT,28.68247530573622,77.16874001153724,7
ARSON,28.686215257016922,77.07366730021778,9
COUNTERFEITING,28.63299257649061,77.47895991638437,3
VANDALISM,28.66131588775656,77.2921962236943,7
PUBLIC INTOXICATION,28.781961695003293,77.33955668328603,21
FIREARM OFFENSE,28.79962235825603,77.26567437663472,0
ILLEGAL POSSESSION,28.646076607787712,77.4032666238231,13
EXTORTION,28.699796720761306,77.44819002477406,16
EXTORTION,28.86561811784505,77.19135527179881,3
DOMESTIC VIOLENCE,28.45986679425056,77.3450126561153,2
ASSAULT,28.458551782950053,77.1149437422732,13
DOMESTIC VIOLENCE,28.443854505955382,77.32592752358102,5
KIDNAPPING,28.728931642520262,77.19957781498827,23
PUBLIC INTOXICATION,28.60930415039519,77.00339079970065,4
ILLEGAL POSSESSION,28.78716070807092,77.47776393421131,3
ASSAULT,28.735615706654293,77.43422077276936,7
EXTORTION,28.566818879164117,77.14541827517301,7
FIREARM OFFENSE,28.849183273680765,77.49887865711644,3
PUBLIC INTOXICATION,28.781266073535324,77.15856383727827,15
ARSON,28.535267470455086,77.22942209322953,8
DRUG OFFENSE,28.582096008886026,77.4256295130872,12
ILLEGAL POSSESSION,28.55721999010213,77.15229817566401,5
HOMICIDE,28.4788058243125,77.22527014219375,2
VANDALISM,28.473891686271095,77.33279358356162,1
TRAFFIC VIOLATION,28.868063731687872,77.06523377738621,1
DRUG OFFENSE,28.618952018599376,77.21117518434586,20
VEHICLE - STOLEN,28.591659911388703,77.15470496868082,6
DOMESTIC VIOLENCE,28.76484285433869,77.33838715293241,7
EXTORTION,28.676496532626448,77.06798469503019,13
DOMESTIC VIOLENCE,28.86806999341923,77.11636573955047,2
SEXUAL ASSAULT,28.790150746954694,77.35568810187624,14
DRUG OFFENSE,28.639684782062268,77.07811218486206,12
FIREARM OFFENSE,28.58817973674041,77.21100963111995,18
BURGLARY,28.89331577246216,77.35644036104631,2
PUBLIC INTOXICATION,28.75888011800182,77.382734192215,0
IDENTITY THEFT,28.87559733000192,77.04744058933584,18
HOMICIDE,28.45923928860852,77.42599780470974,8
ARSON,28.82526683959539,77.36198615056499,1
ASSAULT,28.718536941995602,77.16964729434666,13
HOMICIDE,28.460960839167555,77.38190142616511,11
FIREARM OFFENSE,28.69412899998461,77.36414943267033,22
ILLEGAL POSSESSION,28.743048182552723,77.3004456132542,22
DOMESTIC VIOLENCE,28.406151342944298,77.27924058670293,12
ASSAULT,28.62715898092087,77.36735174444979,3
VANDALISM,28.81269975559816,77.49962995085272,17
FIREARM OFFENSE,28.547679512672044,77.28927612465795,4
ROBBERY,28.629274040899276,77.40435893588112,20
VEHICLE - STOLEN,28.621157063533946,77.3721368586578,14
KIDNAPPING,28.550963695721244,77.42790420101691,8
ROBBERY,28.859220947757777,77.47726243069206,23
SEXUAL ASSAULT,28.790647017715756,77.0965416037304,12
SHOPLIFTING,28.455294205498053,77.08272981819756,9
HOMICIDE,28.898517328918786,77.29317591420745,4
DRUG OFFENSE,28.83960001215387,77.22464753144325,15
FIREARM OFFENSE,28.54195421893202,77.28536134645958,6
EXTORTION,28.818448289830467,77.39902136724275,3
SHOPLIFTING,28.45320976593569,77.46585724002462,2
EXTORTION,28.899552365237117,77.20870791259928,15
KIDNAPPING,28.732842368053266,77.3589663227718,22
KIDNAPPING,28.7250625077794,77.0983995939207,6
ARSON,28.445220363492066,77.26727597467726,5
IDENTITY THEFT,28.84851669944831,77.01090238889026,14
HOMICIDE,28.414499751602232,77.25187528356655,3
CYBERCRIME,28.52041402902057,77.27266822956275,2
BURGLARY,28.471510937583314,77.36772266788917,15
DOMESTIC VIOLENCE,28.788383970346107,77.3247423951035,12
HOMICIDE,28.499102113606448,77.1791983671529,0
ROBBERY,28.855319113565443,77.00286545035657,5
KIDNAPPING,28.728134519663744,77.05774293681148,4
PUBLIC INTOXICATION,28.418081355247345,77.48653032675873,16
VEHICLE - STOLEN,28.402714917064348,77.46116657915765,15
PUBLIC INTOXICATION,28.425828958507196,77.16254658154057,17
FIREARM OFFENSE,28.702962588823862,77.12942646996194,2
VANDALISM,28.800740905429706,77.21820814684501,20
PUBLIC INTOXICATION,28.519276410313694,77.34497001480604,5
VEHICLE - STOLEN,28.824704421461536,77.17841383632899,23
COUNTERFEITING,28.428615970076628,77.03364692386558,20
FIREARM OFFENSE,28.800481926820837,77.2013975462222,11
EXTORTION,28.86389771508614,77.13029449724071,18
KIDNAPPING,28.78605419955219,77.16246500560561,16
FRAUD,28.749060391989318,77.08147862289366,18
VANDALISM,28.81899010932769,77.32942003472283,0
DRUG OFFENSE,28.420075649773533,77.26331546662261,2
EXTORTION,28.500891055359528,77.13543155864768,21
KIDNAPPING,28.46246183965282,77.27693124065313,18
ASSAULT,28.652265495096493,77.24635392358361,14
FIREARM OFFENSE,28.77259406416442,77.39798742828302,7
FRAUD,28.7150059222882,77.4779921346701,10
EXTORTION,28.825565549880967,77.06533525448933,9
VANDALISM,28.477606496220545,77.44195673945399,10
ROBBERY,28.76731054596758,77.35239846914246,15
IDENTITY THEFT,28.496520745434452,77.34627677264895,18
ASSAULT,28.5353793756589,77.18715044857123,9
BURGLARY,28.75495234864065,77.17195409773247,20
CYBERCRIME,28.89010239244934,77.00281974241126,2
DRUG OFFENSE,28.705771802988533,77.49110243731866,19
TRAFFIC VIOLATION,28.427250157495646,77.30325291618652,16
DRUG OFFENSE,28.708154484963764,77.20116431196196,12
EXTORTION,28.42117527579008,77.27188441094609,9
PUBLIC INTOXICATION,28.84207285568341,77.02026351704814,8
ILLEGAL POSSESSION,28.754789142550308,77.08682547764583,8
EXTORTION,28.48656392321125,77.3116799624817,22
VEHICLE - STOLEN,28.445860502912097,77.25713086484181,0
ASSAULT,28.49176661444016,77.39353741146381,15
COUNTERFEITING,28.890013589777094,77.32937134522267,23
EXTORTION,28.629280321229242,77.3007178379897,13
ILLEGAL POSSESSION,28.7920404741707,77.40763285215266,15
VANDALISM,28.718204171053888,77.03413155277595,14
FRAUD,28.686206574979316,77.34544339821564,12
IDENTITY THEFT,28.472565127332523,77.3577953566445,15
ARSON,28.873012226779046,77.13758177484,21
PUBLIC INTOXICATION,28.550671316257358,77.0978248182437,17
EXTORTION,28.68900860790377,77.106926237728,20
KIDNAPPING,28.74988797229453,77.099070431716,13
BURGLARY,28.724616577622655,77.2618910954518,18
VANDALISM,28.87029720484776,77.06781315568291,21
FIREARM OFFENSE,28.47421949496003,77.32964293070968,5
COUNTERFEITING,28.65417636922347,77.05253912947438,20
IDENTITY THEFT,28.602017195370383,77.01344482015513,16
HOMICIDE,28.63708436474131,77.15964512122294,10
ASSAULT,28.45960876309887,77.09592986186652,18
KIDNAPPING,28.467047304936383,77.49433102770504,4
SHOPLIFTING,28.539037772890627,77.15149815030861,16
KIDNAPPING,28.552352301880415,77.11103204301276,13
IDENTITY THEFT,28.613951606840672,77.0983849117496,21
FIREARM OFFENSE,28.705493773518313,77.18692645240175,14
HOMICIDE,28.71731455870913,77.30292444766579,12
ASSAULT,28.605905448292784,77.39097263752313,12
SEXUAL ASSAULT,28.604391554714347,77.18228812387153,13
VANDALISM,28.50881426334848,77.31298549002139,21
ROBBERY,28.694153124204504,77.24102994913969,18
DRUG OFFENSE,28.558520455658616,77.4232476731267,2
BURGLARY,28.418029917138682,77.28452088857922,12
ARSON,28.60920002207843,77.14494583593955,6
DRUG OFFENSE,28.637066337545082,77.35179362858912,3
DOMESTIC VIOLENCE,28.512796434102103,77.4100322440115,20
ILLEGAL POSSESSION,28.686228966561057,77.23272032838199,20
ARSON,28.682885950215958,77.49359861944116,22
FIREARM OFFENSE,28.751001090555185,77.43954843959565,9
FIREARM OFFENSE,28.723974241100603,77.09847733483275,10
COUNTERFEITING,28.726216528260515,77.39337793607812,18
VEHICLE - STOLEN,28.55810707591202,77.30047562217489,4
HOMICIDE,28.793716110992975,77.26740564890392,1
COUNTERFEITING,28.67457219179984,77.25696929328979,10
DOMESTIC VIOLENCE,28.615709097589942,77.42670557139121,15
DOMESTIC VIOLENCE,28.713006240470527,77.30543639445172,10
ILLEGAL POSSESSION,28.580328667225125,77.26885299252687,5
TRAFFIC VIOLATION,28.656369622303377,77.02442995337903,12
CYBERCRIME,28.768352844241107,77.22415143487927,22
